grant_number,fqhc_name,state,type,operator_type,site_count,contact_count,exec_count,bh_titled_count,on_natcon,on_nachc,score,reasons
H80CS18278,RAINELLE MEDICAL CENTER,WV,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",32,2,2,1,True,False,6,WV other; 32 sites; real FQHC; 501c3; 2 contacts; 2 exec; 1 BH titles
LALCS55416,MERIDIAN HEALTHCARE,OH,Federally Qualified Health Center (FQHC) Look-Alike,NA,4,2,1,1,True,False,6,OH other; 4 sites sweet; 2 contacts; 1 exec; 1 BH titles
H80CS30711,ALETHEIA HOUSE INC,AL,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",3,1,1,0,True,False,6,AL other; 3 sites sweet; real FQHC; 501c3; 1 exec
H80CS12872,WELLSPACE HEALTH,CA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",33,7,5,0,True,False,6,CA other; 33 sites; real FQHC; 501c3; 7 contacts; 5 exec
H80CS29021,FAMILY HEALTH CARE OF NORTHWEST OHIO INC,OH,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",1,2,2,0,True,False,6,OH other; 1 sites ok; real FQHC; 501c3; 2 contacts; 2 exec
H80CS00492,FAMILY CARE HEALTH CENTERS,MO,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",4,1,1,0,True,False,6,MO other; 4 sites sweet; real FQHC; 501c3; 1 exec
H80CS08776,VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,IN,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",16,1,1,1,True,False,6,IN other; 16 sites ok; real FQHC; 501c3; 1 exec; 1 BH titles
H80CS24130,CHESTNUT HEALTH SYSTEMS INC,IL,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",8,1,1,0,True,False,6,IL other; 8 sites sweet; real FQHC; 501c3; 1 exec
H80CS26563,"COMPASS HEALTH, INC",MO,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",71,3,2,0,True,False,6,MO other; 71 sites; real FQHC; 501c3; 3 contacts; 2 exec
H80CS04435,"MAT-SU HEALTH SERVICES, INC.",AK,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",4,1,0,1,True,False,6,AK other; 4 sites sweet; real FQHC; 501c3; 1 BH titles
H80CS00157,"COMMUNITY HEALTH CENTER OF BUFFALO, INC",NY,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",6,1,1,0,True,False,6,NY other; 6 sites sweet; real FQHC; 501c3; 1 exec
H80CS00315,NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,NC,Federally Qualified Health Center (FQHC),U.S. Government Entity,14,1,1,0,True,False,6,NC core; 14 sites ok; real FQHC; 1 exec
H80CS33643,ALTAPOINTE HEALTH SYSTEMS INC,AL,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",9,1,1,0,True,False,6,AL other; 9 sites sweet; real FQHC; 501c3; 1 exec
H80CS49339,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,NJ,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",3,2,0,0,True,False,6,NJ other; 3 sites sweet; real FQHC; 501c3; 2 contacts
H80CS26614,APLA HEALTH & WELLNESS,CA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",14,1,1,0,False,True,5,CA other; 14 sites ok; real FQHC; 501c3; 1 exec
H80CS00560,"BROCKTON NEIGHBORHOOD HEALTH CENTER, INC.",MA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",7,1,0,0,False,True,5,MA other; 7 sites sweet; real FQHC; 501c3
H80CS00626,"BRONX COMMUNITY HEALTH NETWORK, INC.",NY,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",20,1,1,0,False,True,5,NY other; 20 sites ok; real FQHC; 501c3; 1 exec
LALCS00012,"CASTLE FAMILY HEALTH CENTERS, INC.",CA,Federally Qualified Health Center (FQHC) Look-Alike,NA,4,2,2,0,False,True,5,CA other; 4 sites sweet; 2 contacts; 2 exec
H80CS00849,"Finger Lakes Community Health, Inc",NY,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",15,1,1,0,False,True,5,NY other; 15 sites ok; real FQHC; 501c3; 1 exec
H80CS00801,"SALUD FAMILY HEALTH, INC.",CO,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",24,1,1,0,False,True,5,CO adj; 24 sites; real FQHC; 501c3; 1 exec
H80CS00654,CARESOUTH CAROLINA INC,SC,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",21,1,1,0,False,True,5,SC adj; 21 sites; real FQHC; 501c3; 1 exec
LALCS54783,COASTAL GATEWAY HEALTH CENTER,TX,Federally Qualified Health Center (FQHC) Look-Alike,NA,1,1,1,0,False,True,5,TX core; 1 sites ok; 1 exec
H80CS00115,ERIE FAMILY HEALTH CENTER,IL,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",13,1,1,0,False,True,5,IL other; 13 sites ok; real FQHC; 501c3; 1 exec
H80CS00303,"FENWAY COMMUNITY HEALTH CENTER, INC.",MA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",1,1,1,0,False,True,5,MA other; 1 sites ok; real FQHC; 501c3; 1 exec
H80CS07502,LEGACY COMMUNITY HEALTH SERVICES INC,TX,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",64,1,0,0,False,True,5,TX core; 64 sites; real FQHC; 501c3
