grant_number,fqhc_name,state,type,operator_type,site_count,contact_count,exec_count,bh_titled_count,on_natcon,on_nachc,score,reasons
H80CS02330,FRIENDS OF THE COMMUNITY ACTION PARTNERSHIP OF NATRONA COUNTY,WY,Federally Qualified Health Center (FQHC),U.S. Government Entity,4,1,0,0,True,False,4,WY other; 4 sites sweet; real FQHC
LALCS30797,HEALTHRIGHT 360,CA,Federally Qualified Health Center (FQHC) Look-Alike,NA,2,1,1,0,True,False,4,CA other; 2 sites sweet; 1 exec
H80CS45850,University of Kentucky,KY,Federally Qualified Health Center (FQHC),Other,5,1,0,0,True,False,4,KY other; 5 sites sweet; real FQHC
H80CS26511,UPPER GREAT LAKES FAMILY HEALTH CENTER,MI,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",13,1,0,0,True,False,4,MI other; 13 sites ok; real FQHC; 501c3
H80CS00119,LAKE COUNTY HEALTH DEPARTMENT & COMMUNITY HEALTH CENTER,IL,Federally Qualified Health Center (FQHC),U.S. Government Entity,9,1,0,0,True,False,4,IL other; 9 sites sweet; real FQHC
LALCS00186,FAMILIES TOGETHER OF ORANGE COUNTY,CA,Federally Qualified Health Center (FQHC) Look-Alike,NA,12,1,1,0,False,True,3,CA other; 12 sites ok; 1 exec
H80CS00742,GOLDEN VALLEY HEALTH CENTERS,CA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",53,1,0,0,False,True,3,CA other; 53 sites; real FQHC; 501c3
LALCS40206,JAMHI HEALTH & WELLNESS INC,AK,Federally Qualified Health Center (FQHC) Look-Alike,NA,1,1,1,0,False,True,3,AK other; 1 sites ok; 1 exec
H80CS00829,NEIGHBORCARE HEALTH,WA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",31,1,0,0,False,True,3,WA other; 31 sites; real FQHC; 501c3
H80CS26567,MERIDIAN HEALTH SERVICES CORP.,IN,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",50,1,0,0,True,False,3,IN other; 50 sites; real FQHC; 501c3
H80CS25684,HEALTH CARE DISTRICT OF PALM BEACH COUNTY,FL,Federally Qualified Health Center (FQHC),U.S. Government Entity,13,1,0,0,True,False,3,FL other; 13 sites ok; real FQHC
LALCS31260,ASPIRE INDIANA HEALTH INC,IN,Federally Qualified Health Center (FQHC) Look-Alike,NA,13,1,0,0,True,False,2,IN other; 13 sites ok
